URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/DocumentReference-minimal-sns,StructureDefinition/DocumentReference-refHC-sns,StructureDefinition/DocumentReference-refInf-sns","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/PatientMinimalSNS,StructureDefinition/DocumentReference-minimal-sns,StructureDefinition/DocumentReference-refHC-sns,StructureDefinition/DocumentReference-refInf-sns","hl7.terminology.r4"
http://hl7.org/fhir/ValueSet/link-type,4.0.1,active,"2.16.840.1.113883.4.642.3.423",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","StructureDefinition/PatientMinimalSNS","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/marital-status,4.0.1,active,"2.16.840.1.113883.4.642.3.29",Marital Status Codes,MaritalStatus,"This value set defines the set of codes that can be used to indicate the marital status of a person.","StructureDefinition/PatientMinimalSNS","THO (V3)"
http://hl7.org/fhir/ValueSet/mimetypes,4.0.1,active,"2.16.840.1.113883.4.642.3.1024",Mime Types,MimeType,"This value set includes all possible codes from BCP-13 (http://tools.ietf.org/html/bcp13)","StructureDefinition/DocumentReference-minimal-sns,StructureDefinition/DocumentReference-refHC-sns,StructureDefinition/DocumentReference-refInf-sns","Other"
http://hl7.org/fhir/ValueSet/name-use,4.0.1,active,"2.16.840.1.113883.4.642.3.65",NameUse,NameUse,"The use of a human name.","StructureDefinition/PatientMinimalSNS","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/patient-contactrelationship,4.0.1,active,"2.16.840.1.113883.4.642.3.1130",PatientContactRelationship,Patient Contact Relationship ,"The nature of the relationship between the patient and the contact person.","StructureDefinition/PatientMinimalSNS","THO (V2)"
http://hl7.org/fhir/ValueSet/resource-types,4.0.1,active,"2.16.840.1.113883.4.642.3.27",ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","StructureDefinition/DocumentReference-minimal-sns,StructureDefinition/DocumentReference-refHC-sns,StructureDefinition/DocumentReference-refInf-sns","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/security-labels,4.0.1,active,"2.16.840.1.113883.4.642.3.47",All Security Labels,SecurityLabels,"A single value set for all security labels defined by FHIR.","StructureDefinition/DocumentReference-minimal-sns,StructureDefinition/DocumentReference-refHC-sns,StructureDefinition/DocumentReference-refInf-sns",
http://terminology.hl7.org/ValueSet/v3-ActCode,3.0.0,active,,ActCode,v3 Code System ActCode,"A code specifying the particular kind of Act that the Act-instance represents within its class.  Constraints:  The kind of Act (e.g. physical examination, serum potassium, inpatient encounter, charge financial transaction, etc.) is specified with a code from one of several, typically external, coding systems.  The coding system will depend on the class of Act, such as LOINC for observations, etc. Conceptually, the Act.code must be a specialization of the Act.classCode. This is why the structure of ActClass domain should be reflected in the superstructure of the ActCode domain and then individual codes or externally referenced vocabularies subordinated under these domains that reflect the ActClass structure. Act.classCode and Act.code are not modifiers of each other but the Act.code concept should really imply the Act.classCode concept. For a negative example, it is not appropriate to use an Act.code ""potassium"" together with and Act.classCode for ""laboratory observation"" to somehow mean ""potassium laboratory observation"" and then use the same Act.code for ""potassium"" together with Act.classCode for ""medication"" to mean ""substitution of potassium"". This mutually modifying use of Act.code and Act.classCode is not permitted.","StructureDefinition/DocumentReference-minimal-sns,StructureDefinition/DocumentReference-refHC-sns,StructureDefinition/DocumentReference-refInf-sns","THO (V3)"
